variantId,model,P/N Masked,productCodeType,saleMode,errorCode,errorExplanation,sourceFileDisplayName,sourceSheet,sourceRow,rawTextExcerpt,requiredAction
TAB-R21-ADDON-KEYBOARD,"Galaxy Tab A11+  WiFi  (NEW)
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,21,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R22-ADDON-KEYBOARD,"Galaxy Tab A11+  5G  (NEW)
(ใช้ร่วมกับ SF+ ได้)",N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,22,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R23-ADDON-KEYBOARD,"Galaxy Tab A11+  WiFi  (NEW)
(ใช้ร่วมกับ SF+ ได้)",N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,23,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R24-ADDON-KEYBOARD,"Galaxy Tab A11 LTE  (NEW)
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,24,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R25-ADDON-KEYBOARD,"Galaxy Tab A11 LTE  (NEW)
(ใช้ร่วมกับ SF+ ได้)",N/A,STANDARD_SM,ADD_ON_PURCHASE,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,25,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R26-STANDARD_PAYMENT,Watch Ultra 2,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,26,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R27-STANDARD_PAYMENT,Watch Ultra (64GB),N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,27,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R28-STANDARD_PAYMENT,Watch Ultra (32GB),N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,28,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R29-STANDARD_PAYMENT,Watch8 Classic - LTE,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,29,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R30-STANDARD_PAYMENT,Watch8 Classic - BT,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,30,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R31-STANDARD_PAYMENT,Watch9 44mm,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,31,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
